id,x,y,AEM_Re,AEM_ReIm,AM_DGRF
50,462060.20816556,6948925.37020463,13.8827,0.131299,-88.695099
51,462560.20816556,6948925.37020463,28.989401,0.40824,-105.681
52,463060.20816556,6948925.37020463,-3.08083,-0.039106,-122.892998
53,463560.20816556,6948925.37020463,25.383301,0.141858,-133.819
54,464060.20816556,6948925.37020463,10.5954,0.083954,-132.794006
55,464560.20816556,6948925.37020463,21.7563,0.133194,-147.602997
56,465060.20816556,6948925.37020463,62.474701,0.147665,-160.820007
57,465560.20816556,6948925.37020463,5.88638,0.057774,-154.412003
58,466060.20816556,6948925.37020463,21.991199,0.24407,-169.320007
59,466560.20816556,6948925.37020463,-12.3723,-0.242445,-157.897995
60,467060.20816556,6948925.37020463,51.437099,0.301446,-165.095993
61,467560.20816556,6948925.37020463,51.281399,0.477203,-154.738998
62,468060.20816556,6948925.37020463,97.1931,0.370902,-152.867996
63,468560.20816556,6948925.37020463,-37.6665,-0.330791,-139.830002
64,461060.20816556,6948425.37020463,14.2277,0.198526,-77.702599
65,461560.20816556,6948425.37020463,3.02501,0.045774,-85.930397
66,462060.20816556,6948425.37020463,-4.79069,-0.026948,-100.75
67,462560.20816556,6948425.37020463,27.0131,0.199768,-114.598999
68,463060.20816556,6948425.37020463,10.4394,0.091078,-138.069
69,463560.20816556,6948425.37020463,35.822399,0.114109,-139.882996
70,464060.20816556,6948425.37020463,1.82837,-0.003301,-161.880997
71,464560.20816556,6948425.37020463,4.8376,0.006145,-179.175003
72,465060.20816556,6948425.37020463,43.4207,0.429087,-181.147995
73,465560.20816556,6948425.37020463,23.0732,0.136101,-184.962997
74,466060.20816556,6948425.37020463,23.162399,0.121839,-189.554993
75,466560.20816556,6948425.37020463,11.6414,0.127921,-193.585007
76,467060.20816556,6948425.37020463,25.067101,0.192463,-151.802994
77,467560.20816556,6948425.37020463,61.840199,0.243274,-182.889008
78,468060.20816556,6948425.37020463,63.771599,0.139757,-179.776001
79,468560.20816556,6948425.37020463,31.4216,0.080114,-137.362
80,461060.20816556,6947925.37020463,25.502899,0.301126,-89.382698
81,461560.20816556,6947925.37020463,-4.708,-0.080277,-100.862999
82,462060.20816556,6947925.37020463,1.74874,0.019048,-119.727997
83,462560.20816556,6947925.37020463,21.883499,0.174285,-135.960999
84,463060.20816556,6947925.37020463,82.709702,0.252558,-150.932999
85,463560.20816556,6947925.37020463,6.92249,0.105417,-165.408997
86,464060.20816556,6947925.37020463,8.52623,0.460768,-174.917999
87,464560.20816556,6947925.37020463,-7.4814,-0.11795,-186.182007
88,465060.20816556,6947925.37020463,21.9184,0.24438,-203.326996
89,465560.20816556,6947925.37020463,64.4291,0.678591,-206.380997
90,466060.20816556,6947925.37020463,74.057198,0.547041,-199.595993
91,466560.20816556,6947925.37020463,25.3477,0.175643,-187.988998
92,467060.20816556,6947925.37020463,25.7971,0.095065,-171.505997
93,467560.20816556,6947925.37020463,44.399101,0.153655,-177.033005
94,468060.20816556,6947925.37020463,87.643402,0.196978,-160.514008
95,468560.20816556,6947925.37020463,51.655899,0.165876,-190.285004
96,461060.20816556,6947425.37020463,13.0634,0.069881,-92.3349
97,461560.20816556,6947425.37020463,17.639601,0.137184,-111.657997
98,462060.20816556,6947425.37020463,24.4601,0.069142,-129.690002
99,462560.20816556,6947425.37020463,-20.9062,-0.153726,-149.891006
100,463060.20816556,6947425.37020463,-60.059299,-0.592571,-169.666
101,463560.20816556,6947425.37020463,43.699902,0.308456,-186.404999
102,464060.20816556,6947425.37020463,16.688101,0.156371,-198.970993
103,464560.20816556,6947425.37020463,-15.1509,-3.2714,-209.968002
104,465060.20816556,6947425.37020463,31.5016,4.15014,-209.589005
105,465560.20816556,6947425.37020463,12.8474,0.327939,-193.729996
106,466060.20816556,6947425.37020463,-22.548901,-0.45842,-203.494003
107,466560.20816556,6947425.37020463,-0.212245,-0.035303,-222.772003
108,467060.20816556,6947425.37020463,68.131599,0.135119,-209.050003
109,467560.20816556,6947425.37020463,64.3834,0.090149,-190.671005
110,468060.20816556,6947425.37020463,9.99993,0.021174,-175.781006
111,468560.20816556,6947425.37020463,25.1604,0.044348,-182.897995
112,461060.20816556,6946925.37020463,12.0488,1.5422,-99.5271
113,461560.20816556,6946925.37020463,-1.85321,-0.01917,-120.200996
114,462060.20816556,6946925.37020463,8.97217,0.076815,-151.011002
115,462560.20816556,6946925.37020463,108.859001,0.270313,-167.001007
116,463060.20816556,6946925.37020463,2.19161,0.019987,-189.753006
117,463560.20816556,6946925.37020463,-4.51391,-0.048477,-217.052994
118,464060.20816556,6946925.37020463,1.06256,0.008445,-230.574005
119,464560.20816556,6946925.37020463,16.8894,0.419018,-239.408005
120,465060.20816556,6946925.37020463,-3.67327,0.248384,-236.972
121,465560.20816556,6946925.37020463,-6.16611,-0.196559,-246.274002
122,466060.20816556,6946925.37020463,-16.912701,-0.388309,-238.320007
123,466560.20816556,6946925.37020463,-9.8415,-0.040086,-242.147003
124,467060.20816556,6946925.37020463,56.662998,0.1377,-243.022003
125,467560.20816556,6946925.37020463,130.119003,0.204244,-237.154999
126,468060.20816556,6946925.37020463,112.613998,0.140143,-236.852997
127,468560.20816556,6946925.37020463,48.186001,0.089583,-181.216003
128,461060.20816556,6946425.37020463,-31.2621,-0.44204,-110.382004
129,461560.20816556,6946425.37020463,40.590302,0.735049,-135.320007
130,462060.20816556,6946425.37020463,-8.24793,-1.61756,-168.477997
131,462560.20816556,6946425.37020463,37.807899,0.086955,-200.087997
132,463060.20816556,6946425.37020463,-1.87615,-0.02027,-223.638
133,463560.20816556,6946425.37020463,5.72767,0.116002,-249.863007
134,464060.20816556,6946425.37020463,27.407,0.240696,-254.397003
135,464560.20816556,6946425.37020463,13.9002,0.094675,-274.682007
136,465060.20816556,6946425.37020463,20.5467,0.813927,-207.630005
137,465560.20816556,6946425.37020463,-0.643269,0.003809,-251.845993
138,466060.20816556,6946425.37020463,4.77304,0.12735,-233.942001
139,466560.20816556,6946425.37020463,28.3405,0.393653,-287.019989
140,467060.20816556,6946425.37020463,72.960602,6.74912,-284.203003
141,467560.20816556,6946425.37020463,88.320801,0.667969,-290.790985
142,468060.20816556,6946425.37020463,43.325001,0.454626,-273.112
143,468560.20816556,6946425.37020463,46.513302,0.198279,-242.401993
144,461060.20816556,6945925.37020463,17.815399,0.166792,-120.273003
145,461560.20816556,6945925.37020463,-19.5385,-0.402909,-139.259995
146,462060.20816556,6945925.37020463,12.8341,0.054169,-180.195999
147,462560.20816556,6945925.37020463,23.436701,0.121135,-185.378998
148,463060.20816556,6945925.37020463,68.651199,0.626656,-295.024994
149,463560.20816556,6945925.37020463,23.8188,0.156521,-263.309998
150,464060.20816556,6945925.37020463,-13.3767,-0.122741,-319.583008
151,464560.20816556,6945925.37020463,-10.2162,-0.063869,-296.450012
152,465060.20816556,6945925.37020463,21.1611,0.182488,-299.759003
153,465560.20816556,6945925.37020463,17.8109,0.115464,-297.996002
154,466060.20816556,6945925.37020463,21.002001,0.13232,-290.752991
